Plate #,Row,Column,Record no.,ORF,Gene
3,D,24,4246,YDR410C,STE14
3,E,1,1099,YPL193W,RSA1
3,E,2,3334,YBR194W,AIM4
3,E,3,1100,YPL192C,PRM3
3,E,4,3335,YBR195C,MSI1
3,E,5,1101,YPL191C,YPL191C
3,E,6,3337,YBR197C,YBR197C
3,E,7,1103,YPL189W,GUP2
3,E,8,3339,YBR199W,KTR4
3,E,9,1104,YPL188W,POS5
3,E,10,3340,YBR200W,BEM1
3,E,11,2065,YPL187W,MF(ALPHA)1
3,E,12,3341,YBR201W,DER1
3,E,13,2066,YPL185W,YPL185W
3,E,14,3343,YBR203W,COS111
3,E,15,2067,YPL186C,UIP4
3,E,16,3344,YBR204C,LDH1
3,E,17,2068,YPL184C,MRN1
3,E,18,3345,YBR205W,KTR3
3,E,19,2070,YPL181W,CTI6
3,E,20,3346,YBR206W,YBR206W
3,E,21,2071,YPL182C,YPL182C
3,E,22,3347,YBR207W,FTH1
3,E,23,2072,YPL180W,TCO89
3,E,24,3348,YBR208C,"DUR1,2"
3,F,1,4034,YDR099W,BMH2
3,F,2,4247,YDR411C,DFM1
3,F,3,4035,YDR100W,TVP15
3,F,4,4250,YDR414C,ERD1
3,F,5,4036,YDR101C,ARX1
3,F,6,4251,YDR415C,YDR415C
3,F,7,4037,YDR102C,YDR102C
3,F,8,4254,YDR418W,RPL12b
3,F,9,4038,YDR103W,STE5
3,F,10,4255,YDR419W,RAD30
3,F,11,4039,YDR104C,SPO71
3,F,12,4256,YDR420W,HKR1
3,F,13,4040,YDR105C,TMS1
3,F,14,4257,YDR421W,ARO80
3,F,15,4041,YDR107C,TMN2
3,F,16,4258,YDR422C,SIP1
3,F,17,4042,YDR108W,TRS85
3,F,18,4259,YDR423C,CAD1
3,F,19,4043,YDR109C,YDR109C
3,F,20,4261,YDR425W,SNX41
3,F,21,4044,YDR110W,FOB1
3,F,22,4262,YDR426C,YDR426C
3,F,23,4045,YDR111C,ALT2
3,F,24,4264,YDR428C,BNA7
3,G,1,2073,YPL179W,PPQ1
3,G,2,3349,YBR209W,YBR209W
3,G,3,2074,YPL178W,CBC2
3,G,4,3350,YBR210W,ERV15
3,G,5,2075,YPL177C,CUP9
3,G,6,3352,YBR212W,NGR1
3,G,7,2076,YPL176C,TRE1
3,G,8,3353,YBR213W,MET8
3,G,9,2078,YPL174C,NIP100
3,G,10,3354,YBR214W,SDS24
3,G,11,2079,YPL173W,MRPL40
3,G,12,3355,YBR215W,HPC2
3,G,13,2080,YPL172C,COX10
3,G,14,3356,YBR216C,YBP1
3,G,15,2081,YPL171C,OYE3
3,G,16,3357,YBR217W,ATG12
3,G,17,2082,YPL170W,DAP1
3,G,18,3358,YBR218C,PYC2
3,G,19,2084,YPL168W,YPL168W
3,G,20,3359,YBR219C,YBR219C
3,G,21,2085,YPL167C,REV3
3,G,22,3360,YBR220C,YBR220C
3,G,23,2086,YPL166W,ATG29
3,G,24,3361,YBR221C,PDB1
3,H,1,4046,YDR112W,YDR112W
3,H,2,4266,YDR430C,CYM1
3,H,3,4048,YDR114C,YDR114C
3,H,4,4267,YDR431W,YDR431W
3,H,5,4049,YDR115W,YDR115W
3,H,6,4268,YDR432W,NPL3
3,H,7,4050,YDR116C,MRPL1
3,H,8,4269,YDR433W,YDR433W
3,H,9,4051,YDR117C,TMA64
3,H,10,4271,YDR435C,PPM1
3,H,11,4053,YDR119W,VBA4
